Year,Africa Eastern and Southern,Africa Western and Central,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,"Bahamas, The",Belize,Bolivia,Brazil,Botswana,Central African Republic,Canada,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Caribbean small states,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,Ecuador,Euro area,Spain,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Ghana,Greece,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Haiti,IBRD only,IDA & IBRD total,IDA total,IDA blend,IDA only,India,Ireland,Iceland,Italy,Jamaica,Kenya,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Luxembourg,Morocco,Madagascar,Mexico,Middle income,Malawi,Malaysia,North America,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,OECD members,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Pre-demographic dividend,Puerto Rico,Portugal,Post-demographic dividend,Rwanda,South Asia,Sudan,Senegal,Singapore,Sierra Leone,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Suriname,Sweden,Eswatini,Seychelles,Chad,East Asia & Pacific (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Turkey,Uganda,Upper middle income,Uruguay,United States,St. Vincent and the Grenadines,World,South Africa,Zambia,Zimbabwe
1970,40271576262.3334,23511477699.804,41271138985.3287,15373005557.0257,242732571.428571,26706196046.7931,333627758.154666,458404330.125096,8992721809.39332,538423153.692615,53233532.9341317,1017003367.00337,42327600098.2412,96245114.4611949,189106554.521277,87896095320.1263,9126309734.51328,92602973434.0726,1455482990.24143,1151217146.98569,4877684910.17964,274960699.858595,7198360460.19887,984830158.490566,3695257613.12302,1485500000.0,4863487492.65763,126719320074.403,283014742055.788,2862504169.99893,642669382317.214,40992995008.3195,55965453899.2933,11357516987.5425,219878482.173564,148456359985.827,323802475.481029,130671946244.3,2215029450.3805,13139863636.3636,1904000000.0,267800000.0,2386028921888.91,3800766535.62088,723000000.0,32082851822.9722,331200000.0,565470013386.975,647108506346.534,80705059935.5153,31424600434.6486,50311788697.2196,62422483054.5173,4396684936.68494,526704545.454545,113395315985.13,1404776071.04284,1603447357.25171,16300000.0,9005023183.92581,145017155173.307,175254777060.03,2296470588.23529,169495147166.918,615566041963.951,68738625.2274954,341486410748.624,1509155304.55829,3956328426.04486,1111859569.7715,35520000000.0,592198127590.025,290531621.264851,3864170913.36731,1161385395320.13,649916708.242418,12545849083.0183,776585681.071429,38164716625.0685,12814123115.2613,865975308.641975,2403774057854.49,10027509449.811,1351006400.0,7432223176.77261,6687204834.3687,645537126.217942,43705647335.0847,5034700000.0,8108235704.32357,2338904873088.65,219900006.0,85737283039.6523,2437666666.66667,1297407828.60957,1920586698.02692,434410373.764149,62967234966.2965,62983599875.7538,274900000.0,38092452060.6201,112137757.244855,18432031.3616959,469266736.605177,126459048205.481,253976626.166639,7086538437.5,163015313606.536,85737283039.6523,62983599875.7538,821850000.0,17086956521.7391,1260084033.61345,426241464688.961,2137096774.19355,1073303000000.0,18450000.0,2987367650129.82,18418392640.3787,1825285714.28571,1884206300.0
1971,44427893671.4732,20838908163.4782,45149512823.3845,17858486066.7474,252842285.714286,29821661869.912,335072975.215766,482411103.787272,8751842839.79658,573400000.0,59207317.0731707,1095622895.6229,49204456700.4516,127456485.120719,201450768.367553,99271961774.6088,10884114754.0984,99800958648.1436,1584128262.08933,1236941200.95222,5594770359.28144,322128019.323599,7820380970.53674,1077152902.29104,4017606922.60285,1666500000.0,5077222366.97472,136274469801.281,306475388257.499,2754220263.02528,728403968107.264,46619420359.2814,56959111701.0854,12527405512.9298,247749327.721267,165966615366.402,381687073.058602,148113896325.14,2417107708.25317,14591750000.0,1984800000.0,282050000.0,2648887425550.92,4476001946.01486,731000000.0,34545607004.5838,362800000.0,617675573614.918,699105552118.38,81142285537.8822,29185312526.5808,53480333040.8549,67350988020.9041,5099049444.23151,670251136.363636,124672365792.759,1539865513.92891,1778391289.19123,19624746.4503043,9903499927.98502,160885856338.54,195820421432.361,2369308600.33727,178579662169.486,663340324758.224,76482102.9082774,380222150910.185,1572311184.48205,4356633663.36634,1199507629.99179,39200000000.0,637343787738.542,365386929.835119,4244340333.51899,1264333061774.61,693573595.320975,9181769911.50443,826571413.428571,44579122807.0175,14583114840.0629,882765471.604938,2662094748487.6,10665896682.0664,1523917200.0,8289582883.50129,7408305735.65309,717716130.493883,42719691252.4473,5646800000.0,9201604240.28269,2593220311847.22,222952578.196381,91195879601.4184,2656000000.0,1339548823.66855,2263785443.61688,419549425.077086,64038855617.4774,64059013599.9889,301000000.0,41566412922.6087,136465324.384787,21965951.7213048,501866730.722561,135994572379.794,286537524.990331,7375000024.03846,181597647661.518,91195879601.4184,64059013599.9888,896754316.674262,16256619963.7997,1417787114.84594,464167256103.099,2807258064.51613,1164850000000.0,20051648.1847182,3300427658079.91,20333691315.9642,1687000000.0,2178716300.0
1972,48248522032.6209,25272340677.8719,51967289719.6262,22059612476.9332,246804571.428571,37209418018.5134,410331900.950531,578595583.975723,6288245866.66667,590900000.0,66062500.0,1257615644.97932,58539008786.3684,164466873.706004,230317908.038643,113082820486.918,11853817307.6923,113687586299.051,1849400599.77558,1498252050.17228,6173712814.37126,410669262.898009,8671358732.68486,1238251695.55388,4639299319.33647,1987400000.0,6766766610.86932,154597718185.031,335449690590.732,3185987234.84089,879933220963.294,59132415221.3306,65287673826.3997,14743186119.8738,316650508.967523,203494148244.473,430508357.724,169965034965.035,2112292944.64142,16885511363.6364,2101300000.0,285380952.380952,3072760236052.95,5710107420.14394,802999950.0,37625205415.4055,372000000.0,695115784941.988,779608282009.621,84848298578.8223,32770751246.4597,53219120176.6574,71463193830.4064,6319051927.61605,839652164.06073,145260039840.637,1875048859.93485,2107279157.38336,22944849.1155047,10862327878.032,182666587392.993,219970767429.527,2553936348.40871,194447529755.619,742470317614.813,80915831.9240276,436322646652.698,1968733388.32371,5074117544.77482,1341590681.58511,45200000000.0,714010802148.256,406062874.251497,5043268548.73032,1392428220486.92,742779740.393512,12274416017.7976,880842890.071429,54706557264.4878,17358610849.701,1024098804.93827,3087984495818.67,9415016359.56604,1673411700.0,9189413409.01292,8017468688.2004,858802035.928144,49694109355.7368,6328900000.0,11239117865.0852,3008225161321.95,246457838.336681,91680529302.1745,2882000000.0,1620857277.19338,2721440980.75851,465381089.98454,72348852524.4115,72377987819.8239,311950000.0,48954145808.8359,146741251.46351,30645121.0129499,585427545.723712,154280186201.594,335677636.893737,8177884552.88461,203693530719.78,91680529302.1745,72377987819.8239,1083381044.08473,20431095406.3604,1491596638.65546,527952256273.541,2189418001.37898,1279110000000.0,27585488.9918284,3805594219041.8,21357435928.3439,1910714285.71429,2677729400.0
1973,62914436873.1306,31282962685.6682,63737347853.9398,29515467706.796,304339839.552146,47743801490.3747,504376035.716401,674773518.411839,8086725729.3407,670900000.0,78343558.2822086,1262968515.74213,79279057730.829,244129088.027662,271183061.359635,131321858814.119,16836261173.1844,138544284708.957,2508421234.8557,1901393216.00149,7870239461.07784,541973362.481063,10315760000.3394,1528916185.23199,5076285827.67196,2344800000.0,8707847924.29022,194646430944.668,428728643459.24,3891755551.94138,1142328375724.48,78639525985.1513,80012835399.1946,19472363466.6252,425963359.355326,264429876252.21,722780701.123338,192537971582.558,2465492957.74648,22347848101.2658,2569200100.0,307047619.047619,3718034476796.71,8030117555.62033,912499950.0,45508212263.6418,466800000.0,894048174865.371,989854356318.029,97487299651.1842,34960370826.5916,64377974836.1085,85515269585.522,7482346131.58403,1154440252.96794,175492055795.417,1905917553.19149,2508998457.4073,24196018.3767228,13876531432.0145,239615243328.716,288103934174.925,2875625000.0,239310449012.042,939338467229.744,121181556.195965,554353581286.811,2701874353.136,6242177798.33938,1653062347.36254,55280000000.0,905394439327.191,444281703.893568,7662996766.66803,1556967358814.12,946385033.011918,15162871287.1287,1093571441.5,71840909664.1968,22534253702.8686,972101724.995368,3730827921446.1,6383429490.21091,1913793400.0,10994381894.7984,10082885603.0668,1299105240.73285,61042750479.8775,7002400000.0,15090564186.4268,3631999239239.83,290746157.145921,104812500642.22,3571666666.66667,1863398448.32592,3696213333.33333,575230234.387058,92565582389.9933,92600335614.7778,339450000.0,59404966684.2214,221902017.291066,36896278.2235629,647199482.828061,194246641943.819,406479906.159652,10838587357.7466,268843413957.113,104812500642.22,92600335614.7777,1308799458.96284,25724381625.4417,1702521008.40336,679741166105.633,3964295672.52444,1425376000000.0,30165373.6218865,4637933492078.11,29295674714.2466,2268714285.71429,3309353600.0
1974,78165083861.6965,44227412162.1058,88831245394.252,35189299911.6608,345263492.063492,56033077879.0389,554654786.965107,751133330.591384,12512460519.7088,632400000.0,103216374.269006,2100249875.06247,105136007528.76,306033848.417954,281398668.160613,160408697341.513,16210404183.5358,144182133387.722,3070151901.06383,2157415245.73471,9596960179.64072,585364635.354804,12370029583.6419,1666544754.09836,6595605182.85158,2925700000.0,13210029612.2659,219597802175.469,600503152995.619,6599259420.99605,1295481649107.16,97274006345.5437,118825803564.366,24848821490.4679,558589870.903674,285552373158.756,1544216003.98425,206131369798.971,2894409937.8882,25351306818.1818,3161499900.0,433954545.454545,4192039811689.96,9388663645.7588,1034500000.0,55475047580.0826,565400000.0,1127759040993.8,1258044581173.61,131508964990.96,50396645094.5861,82960979973.4925,99525899115.7756,7898097956.1775,1515190595.29765,199564489431.378,2375096249.03751,2969942180.34692,31514856.3078422,19544094741.2663,315496789586.971,374426354289.622,3574586466.16541,319101464571.543,1193871829990.67,150846210.448859,652859235302.542,3295860604.8053,7675408485.51421,1917508190.04689,72000000000.0,1151589550522.56,548621017.593913,9496074114.07918,1705964297341.51,1026136974.47536,24846641318.1242,1520900045.14286,87243413394.5405,27145693810.1341,1217953546.97604,4180268751845.96,8899191919.19192,2188307600.0,13858441211.2196,13781139969.6519,1467346059.99713,86572444913.6941,7684800000.0,17512391475.9274,4056157566762.02,308458423.183854,126972253469.314,4595000000.0,2099324949.84605,5221534955.64418,648590642.939888,120710995928.188,120750880541.899,409850000.0,66013338964.725,264311994.113319,43134498.6929657,652532796.066703,219146764951.234,560437742.594972,13703000530.0587,352626576694.92,126972253469.314,120750880541.899,2042031901.42217,35599913836.4328,2100142653.35235,843734843685.788,4090209681.97172,1545243000000.0,32924215.8581726,5345359783070.75,36807721037.6395,3121833333.33333,3982161400.0
1975,83344078129.3194,51459772973.1146,97171924074.8327,40059206763.056,420986666.666667,65678189097.2908,676870140.341529,939972703.463021,19448348073.4565,596200000.0,118066298.342541,2404697651.17441,123709376567.89,355172413.793103,378660016.265936,173834029689.343,7622217352.34216,163431551779.761,3893839190.26806,2857037371.05886,10237343173.6527,767102679.01869,13098633901.8673,1960863465.5776,7706760555.18393,3599200000.0,15557934268.4965,246874824066.823,645796572182.501,7731677256.80982,1502108094364.03,114777046376.812,133684222573.869,29472623242.2822,684268280.812751,360832186018.051,2157592936.60731,241756637168.142,2810106382.97872,28525876726.8863,3645900000.0,494791666.666667,4677590335459.73,10048022369.9141,1124000000.0,63377581544.0873,681400000.0,1217538853766.48,1375431261563.2,157650028573.996,57971548556.8439,102412042287.2,98472796457.114,9485294425.08711,1406875081.32726,227695851126.928,2860411285.88714,3259344935.76836,33364055.2995392,21784297520.6612,339878429220.261,392082630479.059,3791298145.50642,354421111044.045,1321858658510.64,149560513.860717,717432560577.743,3233432050.01645,8984824182.60333,2283049233.28758,88000000000.0,1271966913451.69,613220652.928919,9298800799.46702,1859083029689.34,1048690933.21027,27778934624.6973,1590428522.64286,100249523353.085,32877805200.023,1575789254.46938,4685476837067.55,11230606060.6061,2435304100.0,16877163792.1284,14893969287.6557,1356591176.85561,98904272487.5244,8198300000.0,19347607843.1373,4544828267736.27,571863295.740122,135907831613.683,5598000000.0,2830388404.87845,5633673929.99302,679335901.117451,133284124700.283,133328355525.348,465500000.0,82885397620.5385,288302907.369844,47803145.9560303,864602103.303151,246367761909.199,617321669.390877,14882747955.0328,368009680646.938,135907831613.683,133328355525.348,2442667573.04821,44633707242.7642,2359555555.55556,929156603306.279,3538283322.07726,1684904000000.0,33237164.715642,5954411788549.22,38114542813.0982,2618666666.66667,4371300700.0
1976,83119185675.1995,62147555473.8059,104921215177.108,42959976221.5234,448412753.623188,71113882967.6071,698408244.385343,976547163.53387,10117113333.3333,642100000.0,96905829.5964126,2731984007.996,152678020452.829,372010119.595216,451152449.984411,206575564908.722,10341925249.0421,153940455341.506,4662053707.7763,2898089929.08573,9648583224.99212,754549600.548052,15341403660.4698,2412555425.90432,7932122920.87447,3951500000.0,17728347374.994,250579590569.052,705858547472.65,9091924304.83477,1567615719725.96,118507184779.905,157255998136.432,31849513771.3494,694552411.718837,372319038514.067,3009409970.90463,232614555256.065,2765254237.28814,31152835820.8955,4365300200.0,454440000.0,5097151090736.65,12876366008.8077,1347999950.0,67290550675.4879,879000000.0,1326716619706.32,1490166390739.25,163967488049.448,69959744236.0175,94808612387.9956,102717164465.894,9455237758.27908,1669488389.96542,224717278436.846,2966010229.8977,3474542392.03212,30095602.2944551,29902479338.843,375456979875.692,435581720267.301,3591319857.31272,394387950901.126,1427128209345.6,147654093.836247,782775674228.463,3544268547.54441,9584323309.12136,2181844193.9254,89025974025.974,1374352702957.43,670317634.173056,11050125904.9418,2080373864908.72,1064517574.56042,36308883248.731,1847871371.71429,109168720620.103,35942270686.3374,1452792989.10865,5081565306987.5,13168080808.0808,2588106000.0,15947709379.6507,17097563270.2982,1511856584.25833,115994705986.04,8968600000.0,20332831564.9867,4931701506582.47,637754162.101094,132647805505.076,6979333333.33333,2869777812.41008,6327077974.10703,594895672.333848,144441852796.503,144487029527.785,505500000.0,89362071672.9034,272539098.436063,49278979.5471457,866044961.048205,250064919102.123,619375134.18051,16985211146.0238,409692119714.987,132647805505.076,144487029527.785,2500410583.79177,51280134554.2889,2447300000.0,987783169944.552,3667161241.48372,1873412000000.0,32792480.9729606,6479403912568.41,36603349970.1683,2746714285.71429,4318372000.0
1977,94884791932.0765,65334104528.2934,110201881165.405,51545758887.6863,547535555.555556,82839905458.6382,750049739.152238,1131224818.33053,9651149301.8746,713000000.0,117650000.0,3227436281.85907,176171284311.761,451603325.415677,507298120.68315,211612157028.679,13962893421.5413,174938098826.569,6265067857.86534,3394663844.42834,12344424763.5727,765224030.636477,19470960619.1297,3072427012.83547,9210482685.92608,4587100000.0,20971901273.271,289564300777.745,788602144370.339,11026346589.5011,1783111088122.11,132449277108.434,172742988520.531,33499799321.2336,719533137.126662,410279486493.715,2809349074.17711,263066457352.172,3189428571.42857,36176234967.6226,5480500200.0,449880000.0,5772450805430.54,15719433719.4337,1669499950.0,79110531998.0126,947000000.0,1503786007454.13,1681313755259.99,178813353869.586,73756748308.939,106466107202.83,121487322474.298,11250103036.1313,2208509076.28099,257596313364.055,3249697393.02607,4494378855.33109,44496296.2962963,38446487603.3058,407817646450.959,478739671193.069,4104509582.86359,453803086784.519,1603904697333.8,193307267.709292,908650722049.731,3922895891.95273,11049896742.3889,2358930406.42896,81814159292.0354,1542515163373.39,806290840.624654,13139397879.1695,2293885157028.68,1291457973.12517,36035407725.3219,2239857060.57143,127016990212.804,41508030431.1074,1382400000.0,5732926000456.34,15126060606.0606,2738261900.0,14620386673.8544,19648106122.0079,1640763204.44781,128349182020.627,9910900000.0,21439523310.6338,5575613161952.61,746650558.55469,153599832378.001,8704000000.0,2938046307.22894,6618585073.66035,691777758.395115,158940995922.724,159001890318.307,641500000.0,94468740851.4816,304047838.086477,64526398.6585361,935360466.351397,288969557673.914,777435020.475847,19779315170.0237,451158229471.179,153599832378.001,159001890318.307,3138666666.66667,58676813687.3681,2936470588.23529,1092892378774.11,4114667062.64917,2081826000000.0,49353161.8518519,7328611095657.18,40651349966.8691,2483000000.0,4364382100.0
1978,106229533304.483,71220525032.8343,118338596886.984,62052259073.2493,610225555.555556,101246526194.441,928843304.783965,1475583383.37265,13281767142.8571,832400000.0,136300000.0,3758220889.55522,200800891870.164,590376720.598889,610578523.761178,218632867537.477,15989933708.1491,149540752829.268,7900524897.8644,4662851756.59046,15372608002.3923,878771771.290883,23263511958.0509,3523208809.80163,9433651129.16603,4734400000.0,26364491313.4471,280328981492.619,876040240006.548,11922502170.6405,2183509436583.37,160599687500.0,190603663502.38,36256160288.8087,829239489.844119,506707848837.209,2389479269.18832,335883029721.956,3662478184.99127,44270204081.6327,6070600200.0,507080000.0,6917011010225.21,18315007365.9713,3097242093.22441,91387355663.4203,974200000.0,1621557095866.24,1824430977596.26,203219036415.73,80183719945.896,125414067978.359,137300295308.038,14650291452.7333,2511826196.009,315058323066.393,2644449232.29321,5303734882.53447,49433333.3333333,51972107438.0165,464493018983.194,543518144340.68,2733183856.50224,500534658715.91,1741690862737.55,266559337.626495,946701703577.862,4884868707.57013,13236854105.1672,2669755115.50569,102500000000.0,1672613019332.26,949034016.830627,16358376511.2263,2570707667537.48,1774365275.18226,36527862208.7133,2142128603.78571,155859695457.323,46523091009.6713,1604162497.45945,6887515035545.46,17811515151.5152,3244558600.0,12495779622.071,22706155475.3048,1947947524.33347,142952715727.657,11165000000.0,23487614051.0949,6699543007604.23,905709147.27019,174773663985.822,7670500000.0,3280354339.39341,7517176354.84135,960728338.93643,175894490682.748,175977245602.628,735500000.0,104442351222.751,340616375.344986,85552369.914184,1113920122.61212,279753207033.893,824263841.539264,24006570178.1561,510561192693.868,174773663985.822,175977245602.628,3562333458.33333,65147022485.7919,2420260869.56522,1173129106469.89,4910257282.93153,2351599000000.0,60844771.4814815,8632349575126.05,46739449961.9073,2813375000.0,4351600500.0
1979,124361714673.515,88654314397.8093,134712029989.776,73937296963.4586,782496666.666667,116315456796.918,1186231265.18417,1748480982.18517,15565480321.9448,1139800100.0,151800000.0,4421343606.18135,224969488835.181,819877300.613497,700764892.704831,243072102612.259,21803696985.2349,178280594413.043,9142935857.94766,5919004206.90706,15068422236.3663,1198749665.95053,27940411250.2732,4035519323.22054,10835423670.3095,5498800000.0,33243422157.6311,324710146248.678,1064443647987.45,14175166007.5774,2645027354092.41,214601955875.062,239496496169.204,44465255686.1548,1019743927.24662,613953129818.07,3030251116.35966,438994070309.191,4020227920.22792,54481876724.931,6902600200.0,530440000.0,7997577035608.07,22526035940.5921,3544281976.29198,102157701714.281,1080600000.0,1943058409798.99,2177817557701.18,235931371318.139,98427223929.0848,139126865736.573,152991653792.864,18322206640.8769,2853435053.88542,393677161500.816,2425033998.18676,6234390975.27091,58840740.7407407,66946900826.4463,548302343758.578,647980581074.795,3364611432.24149,575424267038.895,2069052669068.09,290142517.814727,1131178893976.54,5711458447.99119,15912133569.2852,3463565881.42486,134561403508.772,1994226135741.56,1058269065.98115,21213672089.1976,2870923302612.26,2109278101.9887,47259911894.2731,1527852635.63158,179669405690.432,53132244623.9213,1851250008.33333,7955856451354.1,19688383838.3838,3704551600.0,15962459447.2168,27502168726.9573,2293621944.36639,180430210494.82,12750000000.0,26622819672.1311,7702798684686.73,1109346220.52885,195751155053.95,9032250000.0,4084878667.85616,9296921723.83465,1109374722.08294,211468167077.439,211594173632.823,782500000.0,123386410160.715,412093133.760988,127261099.24396,1004316495.11165,324043216244.853,891775906.631014,27371699082.7126,610782093337.925,195751155053.95,211594173632.823,4602416625.0,89394085658.2038,2139025000.0,1428846907493.79,7181185277.98651,2627334000000.0,71096359.6296296,10028413337670.5,57645721018.0263,3325500000.0,5177459400.0
1980,156341118201.26,112064063500.952,149776044568.245,82058912997.2346,919726666.666667,126829314388.191,1405251547.23882,1928719477.41287,18138049095.6072,1335300000.0,197938222.429283,4526916802.61011,235024598983.261,1060923829.13021,797048028.773247,273853826548.067,29036709871.7949,191149211575.0,10175615441.8127,6674567625.0807,14394927494.8647,1705796849.54659,33400735644.0481,4831447001.16686,13495267729.8259,6761300000.0,42346380830.7708,374689555131.979,1324869953023.73,17881514682.8784,2962392356381.08,232766822928.754,297879829189.109,53645202422.6968,1202567359.4132,701288419745.421,4279637933.85136,564947710899.373,4445228215.76763,56829664268.5851,7878700000.0,603200000.0,8932268169520.14,28861759209.0191,3968160045.98684,108798753605.443,1383800000.0,2290647728354.12,2568709610331.24,279324217356.023,126263551075.004,152917952318.488,186325345089.754,21751265576.9542,3381419042.85476,477256775943.929,2679409453.23903,7265315331.62273,68459259.2592593,65398646757.6511,655342547364.324,780555871292.856,4024621899.57653,698743246286.66,2425596050127.87,431561376.476631,1282232636254.89,6232005793.90261,21728770055.3777,5201818349.00282,205139086956.522,2346435466492.39,1237655461.1501,24488033442.0506,3131774126516.07,2508524186.43352,64201788122.6054,2189347367.52632,195152092662.381,64439382896.0156,1945916583.33333,8841960072427.68,23654444444.4444,4614086400.0,18134029179.6393,32450541843.0652,2545983007.89984,220714584897.811,14436100000.0,32896519823.7885,8529692427301.2,1254765349.93185,236032168287.024,7459833333.33333,4510107330.12074,11896256782.8566,1100685844.92284,266508136629.313,266652787277.55,795000000.0,142092068280.689,542000513.610683,147357222.779802,1033002401.82546,373919971214.371,1136408814.19692,32353440726.8856,740181622737.909,236032168287.024,266652787277.55,6235833333.33333,68789289565.7434,1244610000.0,1650573802774.31,10163020115.7344,2857307000000.0,82340339.6296296,11298291912604.7,82980483387.953,3829500000.0,6678868200.0
1981,160202197895.597,211065184009.677,176642284918.147,71034228443.062,969046666.666667,104730018470.23,1291119965.11262,1775842026.4121,20249694002.448,1426500000.0,196089854.656347,5872756933.11582,263561088977.129,1073861599.13948,694803502.722356,306214863624.99,34509878043.5897,195866382432.54,8432588483.85263,6610937473.20425,12537821038.2202,1993512325.92306,36388366869.0309,2623807074.2948,14890317367.7428,7561300000.0,44348672667.8715,399830476578.648,1478656816759.63,21810767209.3695,2574552788573.21,202807891511.984,415979970905.165,52448332874.07,1235665808.56541,615552202776.101,3862269126.92681,540765675241.158,4222441614.97432,52346506765.0676,8607500300.0,570357107.142857,9067177174698.72,31055409443.043,4043894878.58005,107555470821.898,1479400000.0,2481142180232.34,2900595479606.3,411300180654.183,243041606845.557,155979483162.719,193490610032.1,20673430092.5339,3492997010.04956,430702851303.015,2979061412.37229,6854491453.90208,80888888.8888889,72933350953.7025,758245679409.868,900089427628.686,4415844155.84416,840698555835.287,2734871868620.05,434188034.188034,1359189307302.82,5231808996.08866,17788171722.4446,4759333969.85141,263959336734.694,2653176657534.63,1237685691.94683,25004557093.8761,3513995963656.99,2170893038.90053,164475209515.19,2448290109.65,164134217080.279,63596654760.8677,2275583316.66667,9000940777044.99,28100606060.6061,5222421500.0,21649137620.3055,35646416952.5425,2498068350.66865,309025651336.986,15955700000.0,31977276872.9642,8626038602052.94,1407062607.63214,250213642682.993,10016500000.0,4095892072.29088,14175228843.6391,1114830471.91787,371503600817.847,371652258116.837,889000000.0,129686938223.328,570761166.818596,154902869.02139,876937559.725038,399009255115.892,962347000.991788,34846107862.3673,857201894715.697,250213642682.993,371652258116.837,6992083333.33333,71040020140.4436,1337300000.0,1795630669767.68,11048335541.4933,3207042000000.0,102086539.259259,11695242940630.8,85454420500.0266,3872666666.66667,8011373800.0
1982,154499760548.54,187218448133.4,193770274743.462,71275287569.5733,1013222222.22222,92095926187.5331,1267778489.03079,1754449845.3012,18525399201.5968,1578300000.0,182206326.985709,5587490264.8127,281682304161.041,1014907254.54016,748312283.726758,313506525087.136,25325893205.657,205089699858.779,7567109766.61129,6611255018.23915,13651667371.1676,2160640566.53953,38968039721.748,2606621255.01581,16517827316.8801,8267400000.0,45207088715.6483,419619343470.517,1406082282665.24,19929853574.6095,2492657158208.36,195996754505.528,399139448761.054,52797582336.2526,1194122694.12269,584877732308.614,3618007844.44908,515048916841.37,4035994397.7591,54617989795.9184,8716999700.0,482000000.0,8982298086329.5,32291306281.8168,4266503525.61051,107903741076.18,1474200000.0,2462841769761.82,2856823225938.29,387866230460.841,222135455967.805,155367986288.667,200715145360.918,21478119830.0917,3206626563.57527,427272645669.291,3293533288.42483,6431579357.31256,86022222.2222222,78358866334.7376,705601393158.757,839696390095.132,4768765016.81884,865373581000.02,2703774825700.35,348746822.619267,1390632287709.8,4764549708.635,17692341358.1272,4784977348.97042,184609157801.418,2619280057101.69,1180104216.01137,26804401815.5348,3658081025119.14,2017611927.4037,142769363313.375,2465165179.69565,158479527935.958,62647195537.6511,2395429852.43076,8866239697477.07,30725971563.981,5769767900.0,21793496819.3379,37140163934.4262,2368584969.53284,290152995652.429,16764200000.0,30527754793.1382,8588187250289.12,1407242640.23211,258869184632.769,9240000000.0,4013950868.45946,16084252378.473,1295361885.92419,341915306747.648,342057618819.621,915000000.0,114380557730.876,537575980.843618,147912069.76575,834369860.427292,418757477176.597,821651918.724626,36589797857.4006,795280130645.606,258869184632.769,342057618819.621,8140416666.66667,64546332580.7583,2177500000.0,1723063668772.51,9178802162.6616,3343789000000.0,113759203.333333,11583465922802.5,78423059789.8803,3994777777.77778,8539700700.0
1983,159582339117.27,138155586596.237,177030416471.689,72121016546.6524,1082926304.46477,87184239053.2544,1095348302.91865,1600278756.43589,17609048821.5488,1732800000.0,192103185.955321,5422440961.87886,203304515490.795,1172258182.14969,658679394.907969,340547711781.889,20355959237.2128,230686747153.257,6838185418.53642,6870200658.94097,11006712650.4481,2097274289.61527,38729822781.5997,3146770103.81027,16735576444.1244,9220600000.0,48801369800.3675,440304530639.417,1415643058861.73,17152483214.3536,2431770092845.08,170951185614.849,338991622241.241,50973526900.0854,1123107276.30285,559869179791.72,3391275731.31859,489618008185.539,4057275042.82903,49428873839.0093,9050000400.0,489333333.333333,9274371365636.73,29907091339.5364,4476697184.85981,102409038958.413,1623600000.0,2428459083254.76,2752717167677.11,323923006446.413,168565377618.367,149604667149.613,218262273410.099,20769303122.2472,2765950295.45784,443042373788.883,3619294120.69144,5979198463.83025,86874074.0740741,87760360941.0248,615396486386.251,740176617237.994,5167913302.16745,855544719095.632,2615126371281.23,386699308.859169,1284962677457.87,4683697830.37475,16251460689.3254,4686457013.0577,156159198584.513,2533456427663.5,1223186840.31324,30346788437.5135,3975475111781.89,1803099731.54257,97094911790.6948,2743341724.08333,153445465987.182,61627240831.0948,2447174803.37791,9156294586804.0,28691889763.7795,5923755900.0,17345624453.6916,33212180658.1659,2562492524.81761,231378304075.932,17276600000.0,27239650741.9472,8912666875066.77,1479688125.8852,274032732754.838,8230153846.15385,3569356462.07896,17784112149.5327,995104305.347075,297838775210.588,297981105081.574,883500000.0,105014356666.797,555336145.767884,146712850.509248,832415805.956327,439400178540.488,765746590.616849,40042826244.2337,694238833604.045,274032732754.838,297981105081.574,7763750000.0,61678280115.4987,2240333333.33333,1640642069608.47,5102281255.99986,3634038000000.0,122255349.62963,11815032021890.3,87415851375.5347,3216307692.30769,7764067000.0
