temperture (K) - Plot 0	voltage (V) - Plot 0
9.09E+00	2.52E-05
9.08E+00	2.32E-05
9.05E+00	2.16E-05
9.05E+00	2.06E-05
9.05E+00	1.97E-05
9.04E+00	1.90E-05
9.04E+00	1.82E-05
9.03E+00	1.81E-05
9.02E+00	1.76E-05
9.01E+00	1.77E-05
8.99E+00	1.75E-05
9.01E+00	1.72E-05
9.00E+00	1.71E-05
9.00E+00	1.69E-05
8.99E+00	1.69E-05
8.97E+00	1.71E-05
8.97E+00	1.70E-05
8.97E+00	1.68E-05
8.95E+00	1.69E-05
8.94E+00	1.70E-05
8.93E+00	1.70E-05
8.94E+00	1.66E-05
8.92E+00	1.67E-05
8.92E+00	1.66E-05
8.91E+00	1.69E-05
8.90E+00	1.62E-05
8.90E+00	1.66E-05
8.89E+00	1.63E-05
8.88E+00	1.65E-05
8.88E+00	1.65E-05
8.88E+00	1.66E-05
8.87E+00	1.67E-05
8.86E+00	1.61E-05
8.86E+00	1.69E-05
8.86E+00	1.68E-05
8.84E+00	1.67E-05
8.85E+00	1.67E-05
8.84E+00	1.71E-05
8.84E+00	1.66E-05
8.83E+00	1.66E-05
8.83E+00	1.67E-05
8.83E+00	1.69E-05
8.82E+00	1.72E-05
8.82E+00	1.66E-05
8.82E+00	1.69E-05
8.81E+00	1.68E-05
8.81E+00	1.68E-05
8.81E+00	1.71E-05
8.80E+00	1.70E-05
8.80E+00	1.68E-05
8.80E+00	1.66E-05
8.79E+00	1.70E-05
8.79E+00	1.68E-05
8.79E+00	1.70E-05
8.79E+00	1.68E-05
8.79E+00	1.71E-05
8.78E+00	1.69E-05
8.78E+00	1.70E-05
8.78E+00	1.65E-05
8.78E+00	1.70E-05
8.78E+00	1.71E-05
8.78E+00	1.68E-05
8.77E+00	1.70E-05
8.77E+00	1.72E-05
8.74E+00	1.61E-05
8.49E+00	1.73E-05
8.11E+00	1.67E-05
7.95E+00	1.68E-05
7.84E+00	1.69E-05
7.62E+00	1.71E-05
7.28E+00	1.70E-05
6.87E+00	1.71E-05
6.60E+00	1.68E-05
6.49E+00	1.70E-05
6.43E+00	1.66E-05
6.38E+00	1.68E-05
6.35E+00	1.68E-05
6.32E+00	1.71E-05
6.30E+00	1.69E-05
6.30E+00	1.70E-05
6.27E+00	1.69E-05
6.26E+00	1.69E-05
6.25E+00	1.70E-05
6.22E+00	1.71E-05
6.19E+00	1.64E-05
6.16E+00	1.67E-05
6.14E+00	1.67E-05
6.12E+00	1.68E-05
6.10E+00	1.65E-05
6.09E+00	1.66E-05
6.08E+00	1.66E-05
6.07E+00	1.68E-05
6.05E+00	1.68E-05
6.04E+00	1.66E-05
6.04E+00	1.65E-05
6.04E+00	1.65E-05
6.02E+00	1.65E-05
5.99E+00	1.63E-05
5.97E+00	1.62E-05
5.95E+00	1.62E-05
5.90E+00	1.62E-05
5.83E+00	1.61E-05
5.74E+00	1.65E-05
5.63E+00	1.63E-05
5.55E+00	1.64E-05
5.47E+00	1.62E-05
5.40E+00	1.63E-05
5.34E+00	1.63E-05
5.32E+00	1.61E-05
5.27E+00	1.62E-05
5.19E+00	1.62E-05
5.10E+00	1.66E-05
5.03E+00	1.65E-05
4.98E+00	1.65E-05
4.95E+00	1.59E-05
4.86E+00	1.57E-05
4.80E+00	1.63E-05
4.74E+00	1.62E-05
4.69E+00	1.61E-05
4.66E+00	1.61E-05
4.62E+00	1.63E-05
4.60E+00	1.64E-05
4.57E+00	1.61E-05
4.55E+00	1.61E-05
4.52E+00	1.63E-05
4.50E+00	1.61E-05
4.49E+00	1.62E-05
4.47E+00	1.62E-05
4.44E+00	1.63E-05
4.43E+00	1.61E-05
4.42E+00	1.62E-05
4.41E+00	1.64E-05
4.41E+00	1.62E-05
4.41E+00	1.65E-05
4.41E+00	1.65E-05
4.41E+00	1.63E-05
4.41E+00	1.61E-05
4.40E+00	1.61E-05
4.40E+00	1.64E-05
4.41E+00	1.62E-05
4.41E+00	1.63E-05
4.41E+00	1.62E-05
4.41E+00	1.62E-05
4.41E+00	1.63E-05
4.41E+00	1.64E-05
4.41E+00	1.62E-05
4.41E+00	1.62E-05
4.41E+00	1.63E-05
4.41E+00	1.63E-05
4.41E+00	1.61E-05
4.41E+00	1.63E-05
4.41E+00	1.61E-05
4.41E+00	1.65E-05
4.42E+00	1.62E-05
4.42E+00	1.62E-05
4.43E+00	1.63E-05
4.44E+00	1.65E-05
4.45E+00	1.62E-05
4.46E+00	1.60E-05
4.47E+00	1.63E-05
4.47E+00	1.62E-05
4.46E+00	1.63E-05
4.46E+00	1.61E-05
4.48E+00	1.64E-05
4.49E+00	1.64E-05
4.50E+00	1.63E-05
4.50E+00	1.65E-05
4.51E+00	1.60E-05
4.52E+00	1.63E-05
4.53E+00	1.61E-05
4.55E+00	1.63E-05
4.56E+00	1.61E-05
4.57E+00	1.62E-05
4.58E+00	1.61E-05
4.59E+00	1.64E-05
4.61E+00	1.61E-05
4.62E+00	1.62E-05
4.63E+00	1.64E-05
4.64E+00	1.64E-05
4.68E+00	1.58E-05
4.75E+00	1.61E-05
4.80E+00	1.63E-05
4.84E+00	1.59E-05
4.86E+00	1.61E-05
4.90E+00	1.61E-05
4.96E+00	1.62E-05
5.13E+00	1.64E-05
5.39E+00	1.63E-05
5.49E+00	1.67E-05
5.56E+00	1.64E-05
5.60E+00	1.65E-05
5.64E+00	1.65E-05
5.67E+00	1.64E-05
5.76E+00	1.61E-05
5.92E+00	1.62E-05
6.27E+00	1.62E-05
6.43E+00	1.64E-05
6.48E+00	1.61E-05
6.55E+00	1.67E-05
6.60E+00	1.66E-05
6.66E+00	1.63E-05
6.88E+00	1.65E-05
7.16E+00	1.63E-05
7.35E+00	1.67E-05
7.41E+00	1.65E-05
7.45E+00	1.64E-05
7.48E+00	1.62E-05
7.49E+00	1.65E-05
7.52E+00	1.65E-05
7.61E+00	1.64E-05
7.87E+00	1.66E-05
8.10E+00	1.65E-05
8.18E+00	1.66E-05
8.24E+00	1.66E-05
8.27E+00	1.64E-05
8.33E+00	1.66E-05
8.36E+00	1.64E-05
8.41E+00	1.64E-05
8.42E+00	1.64E-05
8.42E+00	1.64E-05
8.44E+00	1.63E-05
8.45E+00	1.65E-05
8.45E+00	1.64E-05
8.58E+00	1.66E-05
8.91E+00	2.91E-05
9.27E+00	4.66E-05
9.36E+00	7.65E-05
9.47E+00	7.72E-05
9.53E+00	7.72E-05
9.56E+00	7.68E-05
9.60E+00	7.69E-05
9.63E+00	7.70E-05
9.65E+00	7.71E-05
9.72E+00	7.72E-05
9.93E+00	7.71E-05
1.06E+01	7.74E-05
1.15E+01	7.73E-05
1.19E+01	7.71E-05
1.23E+01	7.72E-05
1.30E+01	7.71E-05
1.40E+01	7.71E-05
1.52E+01	7.74E-05
1.59E+01	7.75E-05
1.65E+01	7.75E-05
1.70E+01	7.73E-05
1.74E+01	7.74E-05
1.77E+01	7.74E-05
1.79E+01	7.76E-05
1.82E+01	7.77E-05
1.83E+01	7.72E-05
1.85E+01	7.75E-05
1.86E+01	7.77E-05
1.87E+01	7.76E-05
1.88E+01	7.79E-05
1.87E+01	7.76E-05
1.44E+01	6.54E-05
7.85E+00	1.74E-05
6.04E+00	1.69E-05
8.22E+00	6.52E-05
1.20E+01	7.72E-05
1.52E+01	7.76E-05
1.89E+01	7.71E-05
2.13E+01	7.79E-05
2.30E+01	7.80E-05
2.44E+01	7.81E-05
2.53E+01	7.81E-05
2.63E+01	7.80E-05
2.71E+01	7.85E-05
2.78E+01	7.88E-05
2.85E+01	7.89E-05
2.90E+01	7.91E-05
2.95E+01	7.93E-05
3.01E+01	7.93E-05
3.05E+01	7.97E-05
3.09E+01	7.99E-05
3.12E+01	8.03E-05
3.16E+01	8.04E-05
3.20E+01	8.06E-05
3.23E+01	8.05E-05
3.26E+01	8.08E-05
3.29E+01	8.08E-05
3.31E+01	8.09E-05
3.34E+01	8.10E-05
3.36E+01	8.11E-05
3.39E+01	8.13E-05
3.41E+01	8.13E-05
3.43E+01	8.13E-05
3.45E+01	8.15E-05
3.46E+01	8.18E-05
3.48E+01	8.18E-05
3.50E+01	8.20E-05
3.51E+01	8.16E-05
3.53E+01	8.15E-05
3.54E+01	8.18E-05
3.55E+01	8.21E-05
3.56E+01	8.20E-05
